[2025-09-11 22:46:55] CREACION: Nuevo árbol binario creado
[2025-09-11 22:46:55] INICIO: INICIADO...
[2025-09-11 22:46:58] ERROR: Entrada inválida en menú principal
[2025-09-11 22:47:01] ERROR: Opción de menú inválida: -9
[2025-09-11 22:47:07] ERROR: Opción de menú inválida: 10
[2025-09-11 22:47:10] ERROR: Intento de búsqueda en árbol vacío
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [130] Elena Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [131] Roberto Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [132] Patricia Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [133] Miguel Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [134] Rosa Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [135] Fernando Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [136] Isabel Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [137] Antonio Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [138] Mónica Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [139] Javier Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [140] Ana Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [141] Carlos Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [142] María Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [143] Juan Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [144] Laura Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [145] Pedro Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [146] Sofía Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [147] Diego Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [148] Carmen Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [149] Luis Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [150] Elena Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [151] Roberto Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [152] Patricia Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [153] Miguel Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [154] Rosa Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [155] Fernando Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [156] Isabel Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [157] Antonio Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [158] Mónica Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [159] Javier Cruz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [160] Ana Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [161] Carlos Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [162] María Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [163] Juan Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [164] Laura Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [165] Pedro Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [166] Sofía Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [167] Diego Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [168] Carmen Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [169] Luis Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [170] Elena Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [171] Roberto Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [172] Patricia Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [173] Miguel Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [174] Rosa Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [175] Fernando Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [176] Isabel Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [177] Antonio Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [178] Mónica Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [179] Javier Flores
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [180] Ana Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [181] Carlos Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [182] María Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [183] Juan Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [184] Laura Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [185] Pedro Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [186] Sofía Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [187] Diego Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [188] Carmen Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [189] Luis Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [190] Elena Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [191] Roberto Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [192] Patricia Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [193] Miguel Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [194] Rosa Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [195] Fernando Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [196] Isabel Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [197] Antonio Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [198] Mónica Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [199] Javier Gómez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [200] Ana Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [201] Carlos Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [202] María Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [203] Juan Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [204] Laura Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [205] Pedro Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [206] Sofía Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [207] Diego Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [208] Carmen Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [209] Luis Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [210] Elena Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [211] Roberto Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [212] Patricia Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [213] Miguel Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [214] Rosa Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [215] Fernando Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [216] Isabel Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [217] Antonio Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [218] Mónica Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [219] Javier Díaz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [220] Ana Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [221] Carlos Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [222] María Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [223] Juan Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [224] Laura Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [225] Pedro Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [226] Sofía Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [227] Diego Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [228] Carmen Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [229] Luis Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [230] Elena Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [231] Roberto Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [232] Patricia Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [233] Miguel Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [234] Rosa Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [235] Fernando Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [236] Isabel Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [237] Antonio Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [238] Mónica Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [239] Javier Ruiz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [240] Ana Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [241] Carlos Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [242] María Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [243] Juan Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [244] Laura Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [245] Pedro Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [246] Sofía Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [247] Diego Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [248] Carmen Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [249] Luis Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [250] Elena Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [251] Roberto Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [252] Patricia Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [253] Miguel Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [254] Rosa Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [255] Fernando Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [256] Isabel Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [257] Antonio Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [258] Mónica Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [259] Javier Hernández
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [260] Ana Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [261] Carlos Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [262] María Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [263] Juan Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [264] Laura Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [265] Pedro Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [266] Sofía Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [267] Diego Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [268] Carmen Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [269] Luis Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [270] Elena Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [271] Roberto Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [272] Patricia Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [273] Miguel Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [274] Rosa Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [275] Fernando Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [276] Isabel Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [277] Antonio Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [278] Mónica Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [279] Javier Jiménez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [280] Ana Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [281] Carlos Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [282] María Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [283] Juan Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [284] Laura Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [285] Pedro Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [286] Sofía Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [287] Diego Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [288] Carmen Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [289] Luis Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [290] Elena Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [291] Roberto Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [292] Patricia Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [293] Miguel Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [294] Rosa Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [295] Fernando Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [296] Isabel Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [297] Antonio Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [298] Mónica Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [299] Javier Morales
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [300] Ana Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [301] Carlos Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [302] María Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [303] Juan Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [304] Laura Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [305] Pedro Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [306] Sofía Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [307] Diego Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [308] Carmen Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [309] Luis Muñoz
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [310] Elena Muñoz
